"county","date","actual_cases"
"南投縣","2020-02-19",2
"雲林縣","2020-02-19",0
"嘉義縣","2020-02-19",0
"屏東縣","2020-02-19",0
"澎湖縣","2020-02-19",0
"花蓮縣","2020-02-19",0
"台東縣","2020-02-19",0
"金門縣","2020-02-19",0
"連江縣","2020-02-19",0
"台北市","2020-02-20",7
"台中市","2020-02-20",2
"台南市","2020-02-20",1
"高雄市","2020-02-20",2
"基隆市","2020-02-20",0
"新竹市","2020-02-20",0
"嘉義市","2020-02-20",0
"新北市","2020-02-20",0
"桃園市","2020-02-20",1
"新竹縣","2020-02-20",0
"宜蘭縣","2020-02-20",1
"苗栗縣","2020-02-20",0
"彰化縣","2020-02-20",2
"南投縣","2020-02-20",2
"雲林縣","2020-02-20",0
"嘉義縣","2020-02-20",0
"屏東縣","2020-02-20",0
"澎湖縣","2020-02-20",0
"花蓮縣","2020-02-20",0
"台東縣","2020-02-20",0
"金門縣","2020-02-20",0
"連江縣","2020-02-20",0
"台北市","2020-02-21",7
"台中市","2020-02-21",4
"台南市","2020-02-21",1
"高雄市","2020-02-21",2
"基隆市","2020-02-21",0
"新竹市","2020-02-21",0
"嘉義市","2020-02-21",0
"新北市","2020-02-21",3
"桃園市","2020-02-21",1
"新竹縣","2020-02-21",0
"宜蘭縣","2020-02-21",1
"苗栗縣","2020-02-21",0
"彰化縣","2020-02-21",5
"南投縣","2020-02-21",2
"雲林縣","2020-02-21",0
"嘉義縣","2020-02-21",0
"屏東縣","2020-02-21",0
"澎湖縣","2020-02-21",0
"花蓮縣","2020-02-21",0
"台東縣","2020-02-21",0
"金門縣","2020-02-21",0
"連江縣","2020-02-21",0
"台北市","2020-02-22",7
"台中市","2020-02-22",4
"台南市","2020-02-22",1
"高雄市","2020-02-22",2
"基隆市","2020-02-22",0
"新竹市","2020-02-22",0
"嘉義市","2020-02-22",0
"新北市","2020-02-22",3
"桃園市","2020-02-22",1
"新竹縣","2020-02-22",0
"宜蘭縣","2020-02-22",1
"苗栗縣","2020-02-22",0
"彰化縣","2020-02-22",5
"南投縣","2020-02-22",2
"雲林縣","2020-02-22",0
"嘉義縣","2020-02-22",0
"屏東縣","2020-02-22",0
"澎湖縣","2020-02-22",0
"花蓮縣","2020-02-22",0
"台東縣","2020-02-22",0
"金門縣","2020-02-22",0
"連江縣","2020-02-22",0
"台北市","2020-02-23",7
"台中市","2020-02-23",4
"台南市","2020-02-23",1
"高雄市","2020-02-23",2
"基隆市","2020-02-23",0
"新竹市","2020-02-23",0
"嘉義市","2020-02-23",0
"新北市","2020-02-23",5
"桃園市","2020-02-23",1
"新竹縣","2020-02-23",0
